label,cell,size,mode,skip,desc
230328-E12,ABpl_,5,2,0,centralprotr
230328-E13,ABpl,5,2,0,arm
230331-E1,P2_,5,2,0,outlier glob omitted
230331-E6,ABpl,5,2,0,dubious
230331-E7,ABpr_,5,2,0,poor
230331-E8,MS_,5,2,0,little explody
230331-E9,MS_,5,2,0,
230331-E10,ABpr_,5,2,0,
230331-E14,ABpl,5,2,0,
230413-E1,ABar_,5,2,0,explode i think
230413-E2,P2_,5,2,0,unsure
230413-E4,ABpr,5,2,0,poor
230417-E1,ABar_,5,2,0,
230417-E2,ABar_,5,2,0,
230417-E3,E_,5,2,0,fast chaotic
230417-E4,MS_,5,2,0,
230417-E9,ABar_,5,2,0,
230417-E11,ABpl_,5,2,0,really special
230429-E2,P2_,5,2,0,poor
230429-E3,ABal_,5,2,1,progressive
230429-E4,ABpl_,5,2,0,poor
230429-E8,P2_,5,2,1,unsure
230429-E9,ABpl,5,2,0,flow
230429-E10,ABpl_,5,2,0,strong
230429-E11,ABpl,5,2,0,ok
